date,actual,predicted
2023-10-23,26,27.691639
2023-10-23,7,6.635635
2023-10-23,2,2.0061052
2023-10-23,23,21.262363
2023-10-23,4,3.8953524
2023-10-24,9,9.319766
2023-10-24,10,9.751248
2023-10-24,3,2.9217777
2023-10-24,6,5.824416
2023-10-24,32,33.849598
2023-10-24,16,15.62392
2023-10-25,27,27.700586
2023-10-25,5,4.743113
2023-10-25,27,28.069544
2023-10-25,6,5.9341173
2023-10-25,4,4.220447
2023-10-25,1,0.9843691
2023-10-26,30,31.292402
2023-10-26,14,14.180112
2023-10-26,32,29.22372
2023-10-26,5,4.478423
2023-10-27,4,4.3603697
2023-10-27,32,30.03499
2023-10-27,66,61.52223
2023-10-27,8,7.415588
2023-10-27,10,8.879051
2023-10-27,15,14.962022
2023-10-28,6,6.0260096
2023-10-28,4,4.101496
2023-10-28,10,9.336533
2023-10-28,36,36.087124
2023-10-28,4,3.8087583
2023-10-28,48,50.87419
2023-10-29,25,22.734678
2023-10-29,4,3.9541237
2023-10-29,3,2.721881
2023-10-29,64,63.708908
2023-10-29,7,7.3136783
2023-10-29,19,17.699814
2023-10-30,16,14.885141
2023-10-30,9,8.342955
2023-10-30,3,2.946069
2023-10-30,6,6.2519627
2023-10-30,25,26.474356
2023-10-31,3,3.1168346
2023-10-31,7,6.6092687
2023-10-31,9,9.1231165
2023-10-31,3,2.6639566
2023-10-31,11,10.919936
2023-10-31,42,41.686882
2023-11-01,46,42.706432
2023-11-01,24,24.114681
2023-11-01,6,5.9249516
2023-11-01,2,2.0789795
2023-11-01,7,6.3813066
2023-11-01,6,6.047085
2023-11-02,9,9.472149
2023-11-02,1,1.2801576
2023-11-02,48,47.755444
2023-11-02,17,16.745365
2023-11-02,8,7.957463
2023-11-03,3,3.017267
2023-11-03,15,15.173431
2023-11-03,20,20.589657
2023-11-03,39,38.63965
2023-11-03,1,0.9056062
2023-11-03,8,7.297405
2023-11-04,8,6.8668814
2023-11-04,15,14.941958
2023-11-04,55,55.95115
2023-11-04,33,31.863014
2023-11-04,11,10.981594
2023-11-04,6,6.4000864
2023-11-05,4,3.679809
2023-11-05,12,12.816328
2023-11-05,21,20.985481
2023-11-05,4,4.3463535
2023-11-05,11,10.4444475
2023-11-05,53,51.33894
2023-11-06,4,3.6868365
2023-11-06,1,0.8465771
2023-11-06,5,4.8334937
2023-11-06,5,4.9780684
2023-11-06,47,42.58446
2023-11-06,13,13.32637
2023-11-07,4,4.309196
2023-11-07,6,5.7176385
2023-11-07,7,7.3277245
2023-11-07,3,3.2261884
2023-11-07,13,14.095843
2023-11-07,21,20.324535
2023-11-08,4,4.7410955
2023-11-08,8,7.2585125
2023-11-08,29,27.763065
2023-11-08,7,7.8581543
2023-11-08,42,41.00945
2023-11-08,2,2.115718
2023-11-09,13,12.930297
2023-11-09,3,3.1339474
2023-11-09,50,49.999935
2023-11-09,28,24.972519
2023-11-09,10,10.392953
2023-11-09,2,2.1264145
2023-11-10,43,44.582947
2023-11-10,15,15.091221
2023-11-10,13,12.638764
2023-11-10,20,21.044325
2023-11-10,6,6.6687813
2023-11-11,83,72.326614
2023-11-11,42,41.700233
2023-11-11,13,11.52394
2023-11-11,9,9.130463
2023-11-11,3,3.1929393
2023-11-11,6,6.3652635
2023-11-12,21,20.394472
2023-11-12,1,0.79175264
2023-11-12,1,1.1530508
2023-11-12,27,25.72148
2023-11-12,9,9.415659
2023-11-12,33,35.106678
2023-11-13,11,10.045619
2023-11-13,10,9.680655
2023-11-13,8,8.25933
2023-11-13,1,1.0709025
2023-11-13,6,6.814938
2023-11-13,36,36.015274
2023-11-14,3,2.9787552
2023-11-14,13,12.345126
2023-11-14,6,6.057694
2023-11-14,7,6.752669
2023-11-14,40,40.46555
2023-11-14,2,1.8872081
2023-11-15,34,28.988552
2023-11-15,44,41.791054
2023-11-15,12,12.075093
2023-11-15,13,12.971225
2023-11-15,3,2.8485281
2023-11-15,1,1.0685327
2023-11-16,23,22.27547
2023-11-16,3,2.8124564
2023-11-16,5,4.6684394
2023-11-16,17,16.712585
2023-11-16,9,7.9951186
2023-11-16,38,39.191853
2023-11-17,61,59.628445
2023-11-17,4,4.1995416
2023-11-17,1,1.00584
2023-11-17,27,25.49502
2023-11-17,13,12.499595
2023-11-17,5,5.515531
2023-11-18,55,56.72532
2023-11-18,2,2.1296015
2023-11-18,5,5.227245
2023-11-18,11,11.188998
2023-11-18,12,11.561397
2023-11-18,27,28.370832
2023-11-19,2,2.1683953
2023-11-19,8,8.117072
2023-11-19,8,6.930784
2023-11-19,41,41.426907
2023-11-19,27,26.503592
2023-11-19,9,8.443127
2023-11-20,16,15.757214
2023-11-20,5,5.7724967
2023-11-20,25,23.013474
2023-11-20,1,0.7972302
2023-11-20,30,26.73355
2023-11-21,35,35.590458
2023-11-21,2,2.0172982
2023-11-21,11,11.695062
2023-11-21,11,10.205288
2023-11-22,14,13.854374
2023-11-22,10,10.24216
2023-11-22,9,8.349616
2023-11-22,11,10.846143
2023-11-22,42,43.11656
2023-11-23,13,11.55949
2023-11-23,2,1.8832487
2023-11-23,4,3.930282
2023-11-23,25,24.100103
2023-11-23,29,29.861671
2023-11-23,16,15.71142
2023-11-24,25,22.641829
2023-11-24,9,8.354901
2023-11-24,59,60.343666
2023-11-24,7,6.822672
2023-11-24,9,8.524015
2023-11-25,31,29.042055
2023-11-25,8,7.953251
2023-11-25,8,8.159498
2023-11-25,15,13.00995
2023-11-25,91,75.27545
2023-11-25,4,3.7465892
2023-11-26,10,9.134605
2023-11-26,49,49.741985
2023-11-26,15,15.125448
2023-11-26,8,8.652493
2023-11-26,18,17.355885
2023-11-26,12,13.255719
2023-11-27,23,22.35676
2023-11-27,2,1.822394
2023-11-27,3,3.331931
2023-11-27,35,35.139996
2023-11-27,11,11.530992
2023-11-28,6,6.6524196
2023-11-28,14,13.545346
2023-11-28,27,27.375946
2023-11-28,1,0.8550525
2023-11-28,19,19.380733
2023-11-29,23,21.28504
2023-11-29,11,11.751941
2023-11-29,41,40.665764
2023-11-29,9,8.8172455
2023-11-29,1,1.0030574
2023-11-29,2,1.9352317
2023-11-30,34,33.456917
2023-11-30,4,3.9813764
2023-11-30,5,4.6810875
2023-11-30,12,11.646401
2023-11-30,2,1.7243525
2023-11-30,13,13.789681
2023-12-01,32,29.974596
2023-12-01,19,16.537586
2023-12-01,4,4.6785994
2023-12-01,8,8.220919
2023-12-01,53,53.165043
2023-12-02,47,48.733356
2023-12-02,23,22.661636
2023-12-02,9,9.530749
2023-12-02,7,7.7879825
2023-12-02,1,1.1174277
2023-12-02,24,24.553284
2023-12-03,34,33.131886
2023-12-03,18,17.140324
2023-12-03,59,57.695778
2023-12-03,3,3.0316026
2023-12-03,3,3.0139344
2023-12-04,16,16.80693
2023-12-04,6,6.0933423
2023-12-04,1,0.7264225
2023-12-04,7,6.5255423
2023-12-04,3,2.8182495
2023-12-04,34,33.032932
2023-12-05,3,3.0373132
2023-12-05,3,3.0502157
2023-12-05,6,5.8631363
2023-12-05,33,33.665916
2023-12-05,7,7.3246617
2023-12-05,10,12.486472
2023-12-06,5,4.7767277
2023-12-06,30,33.54622
2023-12-06,4,3.817884
2023-12-06,9,9.001535
2023-12-06,19,17.419178
2023-12-06,7,7.043948
2023-12-07,15,13.5588875
2023-12-07,3,2.8639467
2023-12-07,12,12.0626135
2023-12-07,38,39.263092
2023-12-07,32,30.121845
2023-12-07,1,0.99591833
2023-12-08,9,8.93343
2023-12-08,29,30.8463
2023-12-08,10,9.746922
2023-12-08,46,43.499332
2023-12-08,2,2.0442388
2023-12-09,8,7.810996
2023-12-09,16,15.835355
2023-12-09,55,58.383255
2023-12-09,19,18.533361
2023-12-09,22,20.264233
2023-12-09,2,2.196896
2023-12-10,12,12.031919
2023-12-10,3,3.1529353
2023-12-10,1,0.97656095
2023-12-10,19,19.146975
2023-12-10,41,42.02668
2023-12-10,6,6.207343
2023-12-11,2,2.169872
2023-12-11,12,12.034124
2023-12-11,2,1.8936812
2023-12-11,23,21.347382
2023-12-11,22,21.758818
2023-12-11,2,2.1565626
2023-12-12,3,2.8946736
2023-12-12,4,4.185305
2023-12-12,17,15.7779875
2023-12-12,5,4.934098
2023-12-12,40,37.400993
2023-12-12,11,10.481621
2023-12-13,20,20.07113
2023-12-13,2,1.8898158
2023-12-13,7,6.829229
2023-12-13,11,10.229787
2023-12-13,38,37.771053
2023-12-14,67,59.748947
2023-12-14,6,6.037281
2023-12-14,5,5.4188576
2023-12-14,9,8.439588
2023-12-14,43,38.893753
2023-12-14,23,20.28493
2023-12-15,28,27.698704
2023-12-15,44,41.625153
2023-12-15,4,4.264571
2023-12-15,3,3.056537
2023-12-15,17,15.355914
2023-12-16,18,16.5614
2023-12-16,22,23.320171
2023-12-16,5,4.687325
2023-12-16,13,12.516983
2023-12-16,77,76.72517
2023-12-17,20,20.021896
2023-12-17,63,62.263252
2023-12-17,8,7.154653
2023-12-17,4,3.8666036
2023-12-17,10,10.108897
2023-12-17,7,7.4771943
2023-12-18,3,2.8178074
2023-12-18,5,4.0738144
2023-12-18,17,16.477102
2023-12-18,23,25.235586
2023-12-18,11,10.979345
2023-12-19,16,16.89418
2023-12-19,2,2.2992332
2023-12-19,4,4.1640067
2023-12-19,4,3.8908613
2023-12-19,41,41.16578
2023-12-20,3,3.2913043
2023-12-20,15,13.6769705
2023-12-20,12,11.591738
2023-12-20,4,4.3506207
2023-12-20,25,23.730106
2023-12-20,40,41.586655
2023-12-21,16,16.316782
2023-12-21,2,2.371588
2023-12-21,10,8.9851055
2023-12-21,8,8.4058
2023-12-21,26,28.480062
2023-12-22,5,5.4170036
2023-12-22,20,19.664022
2023-12-22,1,1.0735778
2023-12-22,54,53.234043
2023-12-22,9,8.563316
2023-12-22,8,8.672115
2023-12-23,8,7.8356075
2023-12-23,1,1.0262624
2023-12-23,74,69.50351
2023-12-23,29,27.877077
2023-12-23,20,20.380964
2023-12-24,18,17.968645
