date,actual,predicted
2023-12-24,8,7.8357973
2023-12-24,11,16.981625
2023-12-24,4,3.6320891
2023-12-24,58,58.06417
2023-12-24,15,16.047092
2023-12-25,21,21.61172
2023-12-25,5,4.3840218
2023-12-25,8,7.387083
2023-12-25,17,16.626884
2023-12-25,100,68.96153
2023-12-25,39,37.123657
2023-12-26,3,3.2037048
2023-12-26,19,19.76676
2023-12-26,58,53.8236
2023-12-26,32,30.044636
2023-12-26,13,12.187152
2023-12-26,3,2.8639395
2023-12-27,8,8.7880335
2023-12-27,13,13.303369
2023-12-27,2,2.283797
2023-12-27,9,8.931639
2023-12-27,39,38.08605
2023-12-27,3,3.1108549
2023-12-28,4,4.5524726
2023-12-28,47,47.785034
2023-12-28,10,9.612396
2023-12-28,8,7.6901565
2023-12-28,3,2.9981
2023-12-28,27,25.671953
2023-12-29,4,3.8056676
2023-12-29,47,47.727177
2023-12-29,15,14.58838
2023-12-29,14,13.0701275
2023-12-29,14,14.906518
2023-12-29,1,0.8348991
2023-12-30,4,4.17609
2023-12-30,5,4.7722383
2023-12-30,57,55.059986
2023-12-30,18,17.145788
2023-12-30,16,16.696882
2023-12-30,14,13.589157
2023-12-31,2,2.295428
2023-12-31,48,47.930958
2023-12-31,4,4.0526857
2023-12-31,17,16.686222
2023-12-31,3,2.6291127
2023-12-31,32,32.041897
