model,MAE,RMSE
TSK1 Optimized Daily Revenue,14.58877027054908,22.566143689871602
TSK2 Daily Orders,2.405853271484375,3.5912292928128564
TSK3 Optimized Hourly Orders,0.5687861442565918,0.8897994381234677
TSK4 Optimized Category Demand,0.84287428855896,2.1624716960840775
