feature,importance
price_local,0.21789376147652337
subcategory,0.20267081258026978
sale_price_local,0.20085448733772196
gender_segment,0.17297134171322667
size_label,0.11088386656780104
product_name,0.04707916234236482
color_name,0.023053924878174537
seen_market_count,0.01571432086770099
category,0.00887832223621687
